Sample Location,Length (cm),Thickness (cm),Juv or Adult,,
Angie's Beach,23.5,3.9,,,
Blazer Cay,17,1.6,,,
Bowry Bay,19.5,1.5,,,Andros Island Queen Conch Strombus gigas
Bowry Bay,19,1.8,,,Shell Length and Lip Thickness: ENST 483 Data June 2019
Conch Sound,20,1.2,,,8 Different Field Sites (n=40 shells per site) Examined by Students
Blazer Cay,16,1.1,,,
Grassy Creek,17.5,1.5,,,
Conch Sound,20.9,2.7,,,QUESTIONS
Conch Sound,20,1.5,,,1) Total number of juveniles and adults collected per site?
Bowry Bay,18,3.1,,,
Stafford Creek,24.2,3.0,,,2) Average conch size and SE per site (Std Error = SE = Std Dev / square root of number of samples)
Blazer Cay,19.5,1.3,,,
Young Sound,22.2,1.0,,,3) Is 1.5+ cm lip thickness enough?  How much thicker to conserve juvenile populations? 
Grassy Creek,21.5,1.7,,,
Young Sound,22,1.5,,,4) Conch shells ~20-25 cm in length roughly 3.5+ yrs old….how many represented here?
Grassy Creek,20.5,2.5,,,
Mastic Bay,16,1.5,,,
Bowry Bay,19,1.3,,,
Grassy Creek,24,3.6,,,
Conch Sound,22.5,1.3,,,
Stafford Creek,23,3.0,,,
Bowry Bay,19,1.4,,,
Stafford Creek,23,3.3,,,
Mastic Bay,16.5,1.6,,,
Young Sound,20,1.3,,,
Bowry Bay,16.5,1.5,,,
Mastic Bay,25.1,3.4,,,
Angie's Beach,21,2.6,,,
Mastic Bay,25,1.9,,,
Young Sound,19,2.2,,,
Young Sound,23,3.8,,,
Stafford Creek,16,1.5,,,
Conch Sound,22,2.9,,,
Mastic Bay,21.4,1.0,,,
Stafford Creek,21,2.4,,,
Angie's Beach,23,2.1,,,
Blazer Cay,18.5,1.2,,,
Mastic Bay,17,1.4,,,
Young Sound,22.5,3.2,,,
Conch Sound,25,4.9,,,
Angie's Beach,23,1.2,,,
Young Sound,23.2,2.0,,,
Grassy Creek,24,4.1,,,
Young Sound,19.5,1.2,,,
Blazer Cay,19.5,2.2,,,
Grassy Creek,20.5,4.0,,,
Stafford Creek,23,2.6,,,
Angie's Beach,23,2.0,,,
Angie's Beach,23,1.4,,,
Conch Sound,19.4,1.1,,,
Stafford Creek,19,1.9,,,
Blazer Cay,19,2.2,,,
Stafford Creek,22,2.2,,,
Mastic Bay,20.1,2.0,,,
Bowry Bay,18.5,1.4,,,
Angie's Beach,23.1,3.0,,,
Grassy Creek,20,2.0,,,
Bowry Bay,19,4.6,,,
Mastic Bay,25.3,4.7,,,
Young Sound,22.1,1.0,,,
Bowry Bay,17,1.7,,,
Mastic Bay,18,1.2,,,
Angie's Beach,20,1.6,,,
Young Sound,22.4,3.7,,,
Grassy Creek,20,2.0,,,
Young Sound,21.5,2.8,,,
Blazer Cay,19.5,2.9,,,
Mastic Bay,21.5,2.0,,,
Mastic Bay,21.4,1.8,,,
Stafford Creek,22.1,1.3,,,
Blazer Cay,22.5,3.8,,,
Angie's Beach,22.5,3.6,,,
Grassy Creek,21,2.6,,,
Grassy Creek,19.5,1.6,,,
Bowry Bay,21,2.9,,,
Bowry Bay,21,2.4,,,
Conch Sound,22,4.6,,,
Stafford Creek,21.9,2.0,,,
Mastic Bay,23,2.0,,,
Mastic Bay,17.6,1.7,,,
Blazer Cay,20.5,3.6,,,
Bowry Bay,20,2.5,,,
